Bulan,Bulan,Ekspor,Impor,Neraca Perdagangan,Jun-2025,Jun-2025&nbsp;,Jun-2025&nbsp;&nbsp;,,62
Jan-2000,Sat Jan 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),4.39,2.17,2.2199999999999998,4.39,2.17,2.2199999999999998,,
Feb-2000,Tue Feb 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),4.79,2.12,2.67,4.79,2.12,2.67,,
Mar-2000,Wed Mar 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),4.95,2.27,2.68,4.95,2.27,2.68,,
Apr-2000,Sat Apr 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),5.01,2.34,2.67,5.01,2.34,2.67,,
May-2000,Mon May 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),4.86,2.38,2.4800000000000004,4.86,2.38,2.4800000000000004,,
Jun-2000,Thu Jun 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),5.35,2.47,2.8799999999999994,5.35,2.47,2.8799999999999994,,
Jul-2000,Sat Jul 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),5.39,2.69,2.6999999999999997,5.39,2.69,2.6999999999999997,,
Sep-2000,Fri Sep 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),5.77,3.45,2.3199999999999994,5.77,3.45,2.3199999999999994,,
Nov-2000,Wed Nov 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),5.24,3.57,1.6700000000000004,5.24,3.57,1.6700000000000004,,
Jan-2001,Mon Jan 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),4.89,2.94,1.9499999999999997,4.89,2.94,1.9499999999999997,,
Feb-2001,Thu Feb 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),4.74,3.18,1.56,4.74,3.18,1.56,,
Mar-2001,Thu Mar 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),5.22,3.09,2.13,5.22,3.09,2.13,,
Apr-2001,Sun Apr 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),4.8,2.92,1.88,4.8,2.92,1.88,,
May-2001,Tue May 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),4.85,2.91,1.9399999999999995,4.85,2.91,1.9399999999999995,,
Jun-2001,Fri Jun 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),4.85,2.7,2.1499999999999995,4.85,2.7,2.1499999999999995,,
Jul-2001,Sun Jul 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),4.87,2.45,2.42,4.87,2.45,2.42,,
Sep-2001,Sat Sep 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),4.35,2.13,2.2199999999999998,4.35,2.13,2.2199999999999998,,
Nov-2001,Thu Nov 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),3.89,2.12,1.77,3.89,2.12,1.77,,
Jan-2002,Tue Jan 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.09,2.09,2,4.09,2.09,2,,
Feb-2002,Fri Feb 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.2,2.18,2.02,4.2,2.18,2.02,,
Mar-2002,Fri Mar 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.54,2.36,2.18,4.54,2.36,2.18,,
Apr-2002,Mon Apr 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.77,2.38,2.3899999999999997,4.77,2.38,2.3899999999999997,,
May-2002,Wed May 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.73,2.5,2.2300000000000004,4.73,2.5,2.2300000000000004,,
Jun-2002,Sat Jun 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),5.1,2.44,2.6599999999999997,5.1,2.44,2.6599999999999997,,
Jul-2002,Mon Jul 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),5,2.65,2.35,5,2.65,2.35,,
Sep-2002,Sun Sep 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),5.14,2.86,2.28,5.14,2.86,2.28,,
Nov-2002,Fri Nov 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.44,2.96,1.4800000000000004,4.44,2.96,1.4800000000000004,,
Jan-2003,Wed Jan 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),5,2.74,2.26,5,2.74,2.26,,
Feb-2003,Sat Feb 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),4.98,2.82,2.1600000000000006,4.98,2.82,2.1600000000000006,,
Mar-2003,Sat Mar 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),5.16,2.82,2.3400000000000003,5.16,2.82,2.3400000000000003,,
Apr-2003,Tue Apr 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),5.06,2.62,2.4399999999999995,5.06,2.62,2.4399999999999995,,
May-2003,Thu May 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),4.96,2.58,2.38,4.96,2.58,2.38,,
Jun-2003,Sun Jun 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),5.3,2.45,2.8499999999999996,5.3,2.45,2.8499999999999996,,
Jul-2003,Tue Jul 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),5.27,2.61,2.6599999999999997,5.27,2.61,2.6599999999999997,,
